,COCYR
0,"Did not use in the past year (IRCOCRC = 3,9)"
1,"Did not use in the past year (IRCOCRC = 3,9)"
2,"Did not use in the past year (IRCOCRC = 3,9)"
3,"Did not use in the past year (IRCOCRC = 3,9)"
4,"Did not use in the past year (IRCOCRC = 3,9)"
5,"Did not use in the past year (IRCOCRC = 3,9)"
6,"Did not use in the past year (IRCOCRC = 3,9)"
7,"Did not use in the past year (IRCOCRC = 3,9)"
8,"Did not use in the past year (IRCOCRC = 3,9)"
9,"Did not use in the past year (IRCOCRC = 3,9)"
10,"Did not use in the past year (IRCOCRC = 3,9)"
11,"Did not use in the past year (IRCOCRC = 3,9)"
12,"Did not use in the past year (IRCOCRC = 3,9)"
13,"Did not use in the past year (IRCOCRC = 3,9)"
14,"Did not use in the past year (IRCOCRC = 3,9)"
15,"Did not use in the past year (IRCOCRC = 3,9)"
16,"Did not use in the past year (IRCOCRC = 3,9)"
17,"Did not use in the past year (IRCOCRC = 3,9)"
18,"Did not use in the past year (IRCOCRC = 3,9)"
19,"Did not use in the past year (IRCOCRC = 3,9)"
20,"Did not use in the past year (IRCOCRC = 3,9)"
21,"Did not use in the past year (IRCOCRC = 3,9)"
22,"Did not use in the past year (IRCOCRC = 3,9)"
23,"Did not use in the past year (IRCOCRC = 3,9)"
24,"Did not use in the past year (IRCOCRC = 3,9)"
25,"Did not use in the past year (IRCOCRC = 3,9)"
26,"Did not use in the past year (IRCOCRC = 3,9)"
27,"Did not use in the past year (IRCOCRC = 3,9)"
28,"Did not use in the past year (IRCOCRC = 3,9)"
29,"Did not use in the past year (IRCOCRC = 3,9)"
30,"Did not use in the past year (IRCOCRC = 3,9)"
31,"Did not use in the past year (IRCOCRC = 3,9)"
32,"Did not use in the past year (IRCOCRC = 3,9)"
33,"Did not use in the past year (IRCOCRC = 3,9)"
34,"Did not use in the past year (IRCOCRC = 3,9)"
35,"Did not use in the past year (IRCOCRC = 3,9)"
36,"Did not use in the past year (IRCOCRC = 3,9)"
37,"Did not use in the past year (IRCOCRC = 3,9)"
38,"Did not use in the past year (IRCOCRC = 3,9)"
39,"Did not use in the past year (IRCOCRC = 3,9)"
40,"Did not use in the past year (IRCOCRC = 3,9)"
41,"Did not use in the past year (IRCOCRC = 3,9)"
42,"Did not use in the past year (IRCOCRC = 3,9)"
43,"Did not use in the past year (IRCOCRC = 3,9)"
44,"Did not use in the past year (IRCOCRC = 3,9)"
45,"Did not use in the past year (IRCOCRC = 3,9)"
46,"Did not use in the past year (IRCOCRC = 3,9)"
47,"Did not use in the past year (IRCOCRC = 3,9)"
48,"Did not use in the past year (IRCOCRC = 3,9)"
49,"Did not use in the past year (IRCOCRC = 3,9)"
50,"Did not use in the past year (IRCOCRC = 3,9)"
